image,original_split,sample_kind,scene_group,assigned_split,objects,class_counts
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,5,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,4,"[0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,3,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.jpg,train,official,sat:01-pan-20240421-423-694-l00000010874,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.jpg,train,official,sat:01-pan-20240421-423-694-l00000010874,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.jpg,train,official,sat:01-pan-20240421-423-694-l00000010874,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.jpg,train,official,sat:01-pan-20240421-423-694-l00000010874,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.jpg,train,official,sat:01-pan-20240421-423-694-l00000010874,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240422-253-245-L00000010552-CCD5_6_crop1.jpg,train,official,sat:01-pan-20240422-253-245-l00000010552,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,train,official,sat:01-pan-20240423-029-368-l00000011028,train,17,"[0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop2.jpg,train,official,sat:01-pan-20240423-029-368-l00000011028,train,3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop1.jpg,train,official,sat:01-pan-20240424-146-259-l00000010574,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop2.jpg,train,official,sat:01-pan-20240424-146-259-l00000010574,train,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop4.jpg,train,official,sat:01-pan-20240424-146-259-l00000010574,train,2,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.jpg,train,official,sat:01-pan-20240424-146-260-l00000010815,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop2.jpg,train,official,sat:01-pan-20240424-146-260-l00000010815,validation,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop3.jpg,train,official,sat:01-pan-20240424-146-260-l00000010815,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD4_3_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop3.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD8_3_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD8_5_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop3.jpg,train,official,sat:01-pan-20240506-094-666-l00000011756,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop1.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,5,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop10.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop11.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop2.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop5.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop7.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop8.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop9.jpg,train,official,sat:01-pan-20240506-094-666-l00000012249,validation,3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_4_crop1.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_5_crop2.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_5_crop3.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_5_crop4.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_5_crop5.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD28_5_crop6.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD29_4_crop1.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240506-124-321-L00000011847-CCD29_5_crop1.jpg,train,official,sat:01-pan-20240506-124-321-l00000011847,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240511-122-548-L00000012428-CCD26_5_crop2.jpg,train,official,sat:01-pan-20240511-122-548-l00000012428,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240511-122-548-L00000012428-CCD26_5_crop3.jpg,train,official,sat:01-pan-20240511-122-548-l00000012428,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240511-122-548-L00000012428-CCD27_5_crop2.jpg,train,official,sat:01-pan-20240511-122-548-l00000012428,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240511-122-548-L00000012428-CCD27_6_crop1.jpg,train,official,sat:01-pan-20240511-122-548-l00000012428,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240511-122-548-L00000012428-CCD28_5_crop1.jpg,train,official,sat:01-pan-20240511-122-548-l00000012428,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD28_2_crop1.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD28_2_crop2.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD28_2_crop3.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD28_3_crop2.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD28_3_crop4.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240513-108-690-L00000012465-CCD29_1_crop2.jpg,train,official,sat:01-pan-20240513-108-690-l00000012465,train,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
